Bu markadan şaştığımda hep pişman oldum ses kalitesi, malzeme kalitesi, dizaynı ve şekli kuklığı uzun süre kullansanızda kulaklarınız ağrımıyor.;1
Ses kalitesi gayet tatmin edici. Fiyatına göre daha iyisi var mı bilmem;1
Ürün 2 ayda bozuldu. Hiç beğenmedim aşırı dandik bi ürüm bence;0
Kulaklığı takınca dış sesler baya azalıyor ve baya güzel bir ses kalitesi sağlamış oluyor.;1
Kulaklığın üst kısmında içinde metal var bu da kırılmalara karşı bana güven verdi.;1
Kaliteli bir ürün ve logitech kalitesi, daha ucuz markalarda bu kalite bulunur mu bilmiyorum ama ben verdiğim paradan pişman değilim.;1
teşekkürler  Fiyat araştırtarak aldım. çok memnunum tavsiye ederim.;1
basta orijinal olup olmadigindan supheliydim orijinal test yaptim kulaga takilan silikon kismini cikarin orada cok kucuk beyaz renkle yazilmis bir id kodu bulunuyor sekilde orijinal olup olmadigini anlayabilirsiniz gozunuz kapali alabilirsiniz cok kaliteli guclu sesi var kafamda bere varken telefonla konustum sesim bugulu geliyormus biraz sorun degil zaten beni kimse aramiyor;1
oncelikle kulakligin baglantisiyla ilgili yapilmasi gereken bir yorum gordum baglantiyla ilgili yok saniye ba ikisine yok saniye isik gelene kadar ba falan filan fasafuso kutudan ciktigi zaman r isiksiz l beyaz yanip sonen isik seklinde olacak bluetooth icin baglanma anlamina gelir telefonunuzdan direkt baglanabilirsiniz simdi gelelim bizim malûm meseleye kulaklik kesinlikle cok guzel bass tiz yeterince uygun sesi fullerseniz cok sessiz bir ortamda yaninizdaki kisi duyabilir sarj konusundan bahsetmiyorum bile diyeceksiniz yildiz verdin kadar guzel konusup hemen aciklayayim insanlar kotu yorumlari okuyup aldiris edecekler benimki kotu yorumlar arasinda oldugu icin okuyacaksiniz kotu yorumlari dikkate almayin alacaginiz tek sey kulaklik olsun;0
oldukça başarılı bir ürün;1
